CardNumber,Name,Artist,Color,Rarity,Set
﻿1,Aegis of the Heavens,Anthony Palumbo,White,U,Core Set 2019
2,Aethershield Artificer,Izzy,White,U,Core Set 2019
3,"Ajani, Adversary of Tyrants",Victor Adame Minguez,White,M,Core Set 2019
4,Ajani's Last Stand,Slawomir Maniak,White,R,Core Set 2019
5,Ajani's Pridemate,Svetlin Velinov,White,U,Core Set 2019
6,Ajani's Welcome,Eric Deschamps,White,U,Core Set 2019
7,Angel of the Dawn,Livia Prima,White,C,Core Set 2019
8,Cavalry Drillmaster,Slawomir Maniak,White,C,Core Set 2019
9,Cleansing Nova,Noah Bradley,White,R,Core Set 2019
10,Daybreak Chaplain,Volkan Baga,White,C,Core Set 2019
11,Dwarven Priest,Even Amundsen,White,C,Core Set 2019
12,Gallant Cavalry,Craig J Spearing,White,C,Core Set 2019
13,Herald of Faith,Tommy Arnold,White,U,Core Set 2019
14,Hieromancer's Cage,Jason Rainville,White,U,Core Set 2019
15,Inspired Charge,Wayne Reynolds,White,C,Core Set 2019
16,Invoke the Divine,Magali Villeneuve,White,C,Core Set 2019
17,Isolate,Victor Adame Minguez,White,R,Core Set 2019
18,Knight of the Tusk,Jesper Ejsing,White,C,Core Set 2019
19,Knight's Pledge,Magali Villeneuve,White,C,Core Set 2019
20,Knightly Valor,Matt Stewart,White,U,Core Set 2019
21,"Lena, Selfless Champion",Lucas Graciano,White,R,Core Set 2019
22,Leonin Vanguard,Aaron Miller,White,U,Core Set 2019
23,Leonin Warleader,Jakub Kasper,White,R,Core Set 2019
24,Loxodon Line Breaker,Jesper Ejsing,White,C,Core Set 2019
25,Luminous Bonds,Steve Argyle,White,C,Core Set 2019
26,Make a Stand,Magali Villeneuve,White,U,Core Set 2019
27,Mentor of the Meek,Jana Schirmer & Johannes Voss,White,R,Core Set 2019
28,Mighty Leap,Sidharth Chaturvedi,White,C,Core Set 2019
29,Militia Bugler,David Gaillet,White,U,Core Set 2019
30,Novice Knight,Yongjae Choi,White,U,Core Set 2019
31,Oreskos Swiftclaw,James Ryman,White,C,Core Set 2019
32,Pegasus Courser,Mathias Kollros,White,C,Core Set 2019
33,Remorseful Cleric,Grzegorz Rutkowski,White,R,Core Set 2019
34,Resplendent Angel,Volkan Baga,White,M,Core Set 2019
35,Revitalize,Matt Stewart,White,C,Core Set 2019
36,Rustwing Falcon,Paul Scott Canavan,White,C,Core Set 2019
37,Shield Mare,Lucas Graciano,White,U,Core Set 2019
38,Star-Crowned Stag,Jonathan Kuo,White,C,Core Set 2019
39,Suncleanser,Mark Zug,White,R,Core Set 2019
40,Take Vengeance,Randy Vargas,White,C,Core Set 2019
41,Trusty Packbeast,John Stanko,White,C,Core Set 2019
