Card,Name,Artist,Color,Rarity,Set
1,Angel of Grace,Ryan Yee,White,M,Ravnica Allegiance
2,Angelic Exaltation,John Severin Brassell,White,U,Ravnica Allegiance
3,Archway Angel,Milivoj Ćeran,White,U,Ravnica Allegiance
4,Arrester's Zeal,Izzy,White,C,Ravnica Allegiance
5,Bring to Trial,Victor Adame Minguez,White,C,Ravnica Allegiance
6,Civic Stalwart,Gabor Szikszai,White,C,Ravnica Allegiance
7,Concordia Pegasus,Chris Rahn,White,C,Ravnica Allegiance
8,Expose to Daylight,Daniel Ljunggren,White,C,Ravnica Allegiance
9,Forbidding Spirit,Ryan Yee,White,U,Ravnica Allegiance
10,Haazda Officer,Aaron Miller,White,C,Ravnica Allegiance
11,Hero of Precinct One,Bram Sels,White,R,Ravnica Allegiance
12,Impassioned Orator,Mark Zug,White,C,Ravnica Allegiance
13,Justiciar's Portal,Micah Epstein,White,C,Ravnica Allegiance
14,Knight of Sorrows,Zezhou Chen,White,C,Ravnica Allegiance
15,Lumbering Battlement,Simon Dominic,White,R,Ravnica Allegiance
16,Ministrant of Obligation,Bastien L. Deharme,White,U,Ravnica Allegiance
17,Prowling Caracal,Jonathan Kuo,White,C,Ravnica Allegiance
18,Rally to Battle,Ben Wootten,White,U,Ravnica Allegiance
19,Resolute Watchdog,Milivoj Ćeran,White,U,Ravnica Allegiance
20,Sentinel's Mark,Zezhou Chen,White,U,Ravnica Allegiance
21,Sky Tether,Zezhou Chen,White,U,Ravnica Allegiance
22,Smothering Tithe,Mark Behm,White,R,Ravnica Allegiance
23,Spirit of the Spires,Yeong-Hao Han,White,U,Ravnica Allegiance
24,Summary Judgment,Deruchenko Alexander,White,C,Ravnica Allegiance
25,Syndicate Messenger,Viktor Titov,White,C,Ravnica Allegiance
26,Tenth District Veteran,Volkan Baga,White,C,Ravnica Allegiance
27,Tithe Taker,Aaron Miller,White,R,Ravnica Allegiance
28,Twilight Panther,Uriah Voth,White,C,Ravnica Allegiance
29,Unbreakable Formation,Matt Stewart,White,R,Ravnica Allegiance
30,Watchful Giant,Grzegorz Rutkowski,White,C,Ravnica Allegiance
31,Arrester's Admonition,Lucas Graciano,Blue,C,Ravnica Allegiance
32,Benthic Biomancer,Daarken,Blue,R,Ravnica Allegiance
33,Chillbringer,Eytan Zana,Blue,C,Ravnica Allegiance
34,Clear the Mind,David Palumbo,Blue,C,Ravnica Allegiance
35,Code of Constraint,Ekaterina Burmak,Blue,U,Ravnica Allegiance
36,Coral Commando,Alex Konstad,Blue,C,Ravnica Allegiance
37,Essence Capture,Mathias Kollros,Blue,U,Ravnica Allegiance
38,Eyes Everywhere,Nils Hamm,Blue,U,Ravnica Allegiance
39,Faerie Duelist,Yongjae Choi,Blue,C,Ravnica Allegiance
40,Gateway Sneak,Matt Stewart,Blue,U,Ravnica Allegiance
41,Humongulus,Jesper Ejsing,Blue,C,Ravnica Allegiance
42,Mass Manipulation,Anthony Palumbo,Blue,R,Ravnica Allegiance
43,Mesmerizing Benthid,Kev Walker,Blue,M,Ravnica Allegiance
44,Persistent Petitioners,Jason Rainville,Blue,C,Ravnica Allegiance
