CardNumber,Name,Artist,Color,Rarity,Set
1,Blade Instructor,Zoltan Boros,White,C,Guilds of Ravnica
2,Bounty Agent,Randy Vargas,White,R,Guilds of Ravnica
3,Candlelight Vigil,Alexander Forssberg,White,C,Guilds of Ravnica
4,Citywide Bust,Victor Adame Minguez,White,R,Guilds of Ravnica
5,Collar the Culprit,Victor Adame Minguez,White,C,Guilds of Ravnica
6,Conclave Tribunal,Seb McKinnon,White,U,Guilds of Ravnica
7,Crush Contraband,Jason A. Engle,White,U,Guilds of Ravnica
8,Dawn of Hope,Sung Choi,White,R,Guilds of Ravnica
9,Demotion,Joe Slucher,White,U,Guilds of Ravnica
10,Divine Visitation,Victor Adame Minguez,White,M,Guilds of Ravnica
11,Flight of Equenauts,Zezhou Chen,White,U,Guilds of Ravnica
12,Gird for Battle,Jakub Kasper,White,U,Guilds of Ravnica
13,Haazda Marshal,Josh Hass,White,U,Guilds of Ravnica
14,Healer's Hawk,Milivoj Ćeran,White,C,Guilds of Ravnica
15,Hunted Witness,David Palumbo,White,C,Guilds of Ravnica
16,Inspiring Unicorn,Even Amundsen,White,U,Guilds of Ravnica
17,Intrusive Packbeast,Jason Felix,White,C,Guilds of Ravnica
18,Ledev Guardian,Kimonas Theodossiou,White,C,Guilds of Ravnica
19,Light of the Legion,Alex Konstad,White,R,Guilds of Ravnica
20,Loxodon Restorer,Svetlin Velinov,White,C,Guilds of Ravnica
21,Luminous Bonds,Mark Behm,White,C,Guilds of Ravnica
22,Parhelion Patrol,Even Amundsen,White,C,Guilds of Ravnica
23,Righteous Blow,Izzy,White,C,Guilds of Ravnica
24,Roc Charger,Titus Lunter,White,U,Guilds of Ravnica
25,Skyline Scout,Paul Scott Canavan,White,C,Guilds of Ravnica
26,Sunhome Stalwart,Matt Stewart,White,U,Guilds of Ravnica
27,Sworn Companions,Jason Rainville,White,C,Guilds of Ravnica
28,Take Heart,Lucas Graciano,White,C,Guilds of Ravnica
29,Tenth District Guard,Craig J Spearing,White,C,Guilds of Ravnica
30,Venerated Loxodon,Zack Stella,White,R,Guilds of Ravnica
31,Capture Sphere,Mark Behm,Blue,C,Guilds of Ravnica
32,Chemister's Insight,Josh Hass,Blue,U,Guilds of Ravnica
33,Citywatch Sphinx,Magali Villeneuve,Blue,U,Guilds of Ravnica
34,Dazzling Lights,Robbie Trevino,Blue,C,Guilds of Ravnica
35,Devious Cover-Up,Micah Epstein,Blue,C,Guilds of Ravnica
36,Dimir Informant,Lucas Graciano,Blue,C,Guilds of Ravnica
37,Disdainful Stroke,Deruchenko Alexander,Blue,C,Guilds of Ravnica
38,Dream Eater,Daarken,Blue,M,Guilds of Ravnica
39,Drowned Secrets,Alexander Forssberg,Blue,R,Guilds of Ravnica
40,Enhanced Surveillance,Grzegorz Rutkowski,Blue,U,Guilds of Ravnica
41,Guild Summit,Sidharth Chaturvedi,Blue,U,Guilds of Ravnica
42,Leapfrog,Aaron Miller,Blue,C,Guilds of Ravnica
43,Maximize Altitude,Mike Bierek,Blue,C,Guilds of Ravnica
44,Mission Briefing,Matt Stewart,Blue,R,Guilds of Ravnica
45,Murmuring Mystic,Mark Winters,Blue,U,Guilds of Ravnica
46,Muse Drake,Titus Lunter,Blue,C,Guilds of Ravnica
47,Narcomoeba,Howard Lyon,Blue,R,Guilds of Ravnica
48,Nightveil Sprite,Uriah Voth,Blue,U,Guilds of Ravnica
49,Omnispell Adept,Jason Rainville,Blue,R,Guilds of Ravnica
50,Passwall Adept,John Thacker,Blue,C,Guilds of Ravnica
51,Quasiduplicate,Dmitry Burmak,Blue,R,Guilds of Ravnica
52,Radical Idea,Izzy,Blue,C,Guilds of Ravnica
53,Selective Snare,Alex Konstad,Blue,U,Guilds of Ravnica
54,Sinister Sabotage,Mathias Kollros,Blue,U,Guilds of Ravnica
55,Thoughtbound Phantasm,Johann Bodin,Blue,U,Guilds of Ravnica
56,Unexplained Disappearance,Izzy,Blue,C,Guilds of Ravnica
57,Vedalken Mesmerist,Zezhou Chen,Blue,C,Guilds of Ravnica
58,Wall of Mist,Tianhua X,Blue,C,Guilds of Ravnica
59,Watcher in the Mist,Ryan Yee,Blue,C,Guilds of Ravnica
60,Wishcoin Crab,James Paick,Blue,C,Guilds of Ravnica
61,Barrier of Bones,Vincent Proce,Black,C,Guilds of Ravnica
62,Bartizan Bats,Nils Hamm,Black,C,Guilds of Ravnica
63,Blood Operative,Livia Prima,Black,R,Guilds of Ravnica
64,Burglar Rat,Tyler Walpole,Black,C,Guilds of Ravnica
65,Child of Night,Igor Kieryluk,Black,C,Guilds of Ravnica
66,Creeping Chill,Wisnu Tan,Black,U,Guilds of Ravnica
67,Dead Weight,Lake Hurwitz,Black,C,Guilds of Ravnica
68,Deadly Visit,Scott Murphy,Black,C,Guilds of Ravnica
69,Doom Whisperer,Vincent Proce,Black,M,Guilds of Ravnica
70,Douser of Lights,Darek Zabrocki,Black,C,Guilds of Ravnica
71,Gruesome Menagerie,Yeong-Hao Han,Black,R,Guilds of Ravnica
72,Hired Poisoner,Joe Slucher,Black,C,Guilds of Ravnica
73,Kraul Swarm,Jehan Choo,Black,U,Guilds of Ravnica
74,Lotleth Giant,Alex Konstad,Black,U,Guilds of Ravnica
75,Mausoleum Secrets,Adam Paquette,Black,R,Guilds of Ravnica
76,Mephitic Vapors,Darek Zabrocki,Black,C,Guilds of Ravnica
77,Midnight Reaper,Sidharth Chaturvedi,Black,R,Guilds of Ravnica
78,Moodmark Painter,Scott Murphy,Black,C,Guilds of Ravnica
79,Necrotic Wound,Randy Vargas,Black,U,Guilds of Ravnica
80,Never Happened,Aaron Miller,Black,C,Guilds of Ravnica
